"True","Estim","ParamBoot","Boot","FactorParamBoot","FactorBoot"
"64",4.93830844879309,4.92164772778237,4.92706213817178,4.91038522178681,4.93121576097104,4.92787991266024
"65",6.79520295407029,6.51352260137364,6.41422854633412,6.45579654207061,6.45567654071359,6.4344633596126
"66",2.83631919389819,2.83633414712147,2.83491093586304,2.8385201578805,2.83216123327634,2.8440192903214
"67",1.21491646588978,1.2069657665133,1.25653719826644,1.21180965527642,1.23215631724501,1.20488222495517
"68",1.60115929515899,1.58963360239395,1.58401105682234,1.58392585622975,1.59043611443107,1.59286999866659
"69",4.90157908080446,5.40405534845517,5.28681044092676,5.37505504531693,5.25416644142789,5.3281954962592
"70",2.74091337255276,2.71342627702905,2.6972330579503,2.70317300002603,2.6998851336815,2.69612867592153
"71",2.6295077992742,2.63376536344376,2.62387242690115,2.62686063672175,2.61839893927742,2.62493939041079
"72",3.61104506743346,2.99139929898462,3.08047055490089,2.9253690981692,3.01527197280371,3.07796515091693
"73",5.58716340698495,5.45596616327675,5.47664845668034,5.43910085491497,5.45552226849457,5.47532044384779
"74",5.08083730664887,4.21553225787497,4.42544498857175,4.30586155969295,4.40249265258392,4.32645259467023
"75",3.29621577255425,3.56880813256955,3.54403298939587,3.61941539420727,3.6168165167389,3.54002195091712
"76",4.72780720996391,4.84711461068494,4.85349494312311,4.85198031614645,4.85057375275656,4.84651648753003
"77",2.46026871123411,2.46026871123411,2.44344990986138,2.43696703471781,2.43618164079704,2.43077917599776
"78",3.05421325788101,3.11690588713776,3.11287777155646,3.11107766987664,3.12331882959184,3.12839781675343
"79",4.70950169046431,4.70950169046431,4.59279213242184,4.50959102455618,4.56572674824195,4.54418040249836
"80",2.7685579983901,3.4195823304355,3.46326307638023,3.46491055205441,3.49122350095707,3.37872528012814
"81",7.85476973317414,7.66488084085309,7.67825405488042,7.74111733531057,7.60255550574346,7.6519134607027
"82",6.59045964971883,6.59045964971883,6.59572765822459,6.59338845840455,6.59543851819221,6.59349932527415
"83",2.11420859446296,2.22304509360523,2.21981715917945,2.21247350730039,2.22875537022223,2.23397004612552
"84",1.67750325678987,1.78466674764262,1.75315330840595,1.75407187224443,1.76443689997473,1.77635811711931
"85",1.20697561583481,1.20139327609016,1.20145820463291,1.20091606508065,1.20169323625454,1.20097253123573
"86",3.79617939609517,3.6924427517547,3.75549781741453,3.72465552260749,3.72432966280246,3.72024239645239
"87",3.91300870391541,3.91300870391541,3.91300870391541,3.91300870391541,3.91300870391541,3.91300870391541
